id,netgain
1,False
4,True
5,False
9,False
10,False
20,False
28,False
31,False
32,True
34,False
35,False
37,False
42,False
44,False
48,False
53,False
56,False
68,False
69,False
71,False
93,False
102,False
112,False
113,False
118,False
121,False
127,False
146,False
158,False
166,False
169,False
171,False
174,True
178,False
185,False
197,False
203,False
210,False
211,False
214,False
220,False
228,False
232,False
235,False
250,True
253,False
255,False
257,False
266,True
267,False
271,False
282,False
285,False
286,False
295,True
303,False
319,False
326,False
333,True
336,False
338,False
343,False
353,True
357,False
362,False
372,False
379,False
386,False
391,False
401,False
411,False
413,False
417,False
422,False
426,False
428,True
431,False
433,False
438,False
462,False
467,False
471,False
474,False
490,False
508,False
516,False
528,False
541,False
543,False
545,False
552,False
564,False
575,False
590,False
594,False
597,False
602,False
608,False
610,False
616,False
622,True
625,False
631,False
632,False
633,False
649,False
650,False
666,True
670,False
674,False
677,False
680,True
681,False
685,False
686,True
687,False
693,False
704,True
709,False
711,False
714,False
718,False
730,False
736,False
740,False
742,True
747,False
749,True
757,False
773,False
776,False
790,False
795,False
797,False
799,False
804,False
805,False
808,False
812,False
817,False
819,False
820,False
825,False
829,False
848,False
851,False
853,False
858,False
861,False
867,False
869,False
872,False
873,False
874,False
883,False
884,False
885,True
888,False
896,False
897,False
901,True
909,False
912,False
913,False
917,False
919,False
920,True
927,False
932,False
937,False
942,False
951,False
952,False
953,False
956,False
965,False
966,False
967,False
975,True
977,False
983,False
986,False
999,False
1001,False
1002,False
1003,False
1007,False
1009,False
1014,False
1015,False
1031,False
1034,False
1041,False
1046,True
1051,False
1058,False
1062,False
1069,False
1072,False
1081,False
1082,False
1085,False
1088,False
1090,False
1092,False
1102,False
1103,False
1104,False
1106,False
1109,False
1114,False
1117,False
1118,False
1121,False
1125,False
1126,False
1129,True
1136,False
1144,False
1145,False
1152,False
1168,False
1173,False
1177,True
1179,True
1180,True
1181,False
1194,False
1195,False
1199,False
1200,False
1204,False
1206,False
1213,False
1215,True
1217,True
1228,False
1232,True
1234,False
1239,True
1241,False
1248,False
1249,False
1275,False
1277,False
1279,False
1280,False
1291,False
1294,False
1299,False
1303,False
1305,False
1306,False
1311,False
1317,False
1327,False
1334,False
1342,True
1344,False
1352,False
1358,False
1360,False
1363,False
1375,False
1377,False
1379,False
1387,False
1398,False
1405,False
1410,True
1412,False
1416,False
1417,False
1425,False
1431,False
1432,False
1433,False
1447,False
1451,False
1453,False
1456,False
1458,False
1459,False
1471,False
1477,False
1479,False
1481,False
1482,True
1485,False
1487,False
1492,False
1502,False
1506,False
1512,False
1520,False
1527,False
1534,False
1535,False
1547,False
1558,True
1561,False
1570,False
1572,False
1574,False
1577,False
1584,False
1585,False
1589,False
1596,True
1601,False
1608,False
1612,False
1613,False
1617,True
1620,False
1639,False
1654,False
1658,False
1659,False
1663,False
1665,False
1668,False
1671,False
1675,False
1678,False
1687,False
1693,False
1703,False
1706,False
1714,False
1717,False
1719,False
1720,False
1722,True
1727,False
1728,False
1733,False
1739,False
1742,False
1744,False
1749,False
1755,False
1766,True
1767,False
1769,False
1775,False
1782,False
1783,False
1793,False
1804,False
1807,False
1826,False
1828,False
1830,False
1831,False
1834,False
1837,False
1838,False
1848,False
1854,True
1858,False
1859,False
1861,True
1864,True
1867,False
1869,False
1871,False
1875,False
1877,True
1880,False
1882,False
1887,False
1897,False
1898,False
1901,False
1910,False
1917,False
1921,False
1924,False
1929,True
1932,True
1947,False
1961,False
1964,False
1965,False
1974,False
1976,False
1990,False
1992,False
1994,True
2001,False
2003,False
2004,False
2008,False
2014,False
2028,False
2030,False
2051,True
2052,False
2054,False
2064,False
2068,False
2070,False
2072,False
2073,False
2074,False
2075,False
2078,False
2081,False
2088,False
2092,False
2094,False
2097,False
2100,False
2109,False
2115,False
2121,False
2122,False
2125,True
2129,False
2136,False
2138,False
2141,False
2145,False
2151,False
2152,False
2154,False
2159,False
2163,False
2166,False
2172,False
2174,False
2175,False
2182,False
2184,True
2187,False
2188,False
2196,False
2226,False
2230,True
2235,True
2242,False
2249,False
2252,False
2256,False
2258,False
2259,False
2261,False
2262,False
2268,False
2272,False
2274,False
2276,False
2277,False
2278,False
2283,False
2286,False
2289,False
2294,False
2298,False
2303,False
2307,False
2316,False
2322,False
2323,False
2325,False
2329,False
2341,False
2342,False
2345,False
2346,False
2348,False
2349,False
2350,False
2361,False
2368,False
2369,False
2382,False
2385,False
2390,False
2394,False
2397,False
2407,False
2410,False
2417,False
2418,False
2424,False
2426,False
2432,False
2436,False
2438,False
2441,False
2447,False
2451,False
2452,False
2459,False
2460,False
2461,False
2472,False
2475,False
2480,False
2481,False
2483,True
2490,True
2492,False
2495,False
2496,False
2497,False
2498,False
2509,False
2511,False
2512,False
2514,False
2527,False
2529,False
2545,False
2548,False
2561,False
2563,False
2565,False
2569,False
2587,False
2593,False
2600,True
2603,False
2604,False
2605,True
2617,False
2624,False
2627,False
2631,True
2643,False
2644,False
2651,True
2652,False
2663,True
2667,False
2668,False
2669,False
2672,False
2674,False
2679,True
2683,False
2690,True
2702,True
2706,True
2708,False
2711,False
2714,False
2727,False
2731,False
2737,False
2739,False
2747,False
2755,False
2763,False
2767,False
2776,False
2777,False
2781,False
2785,False
2791,False
2800,False
2804,False
2812,False
2822,False
2824,False
2832,False
2835,False
2839,True
2840,False
2845,True
2851,False
2855,False
2865,False
2868,False
2877,False
2882,False
2884,False
2898,False
2912,False
2913,False
2924,False
2936,False
2940,False
2946,False
2952,False
2953,False
2967,False
2970,True
2978,False
2985,False
2990,False
2993,False
3003,False
3007,True
3016,False
3019,False
3023,False
3026,False
3032,False
3038,False
3040,False
3041,False
3042,False
3044,True
3048,False
3053,True
3059,False
3073,False
3079,False
3081,False
3083,False
3086,False
3093,False
3100,True
3102,False
3105,True
3107,True
3111,False
3112,False
3116,False
3118,False
3126,False
3141,False
3145,False
3159,False
3161,False
3167,False
3169,False
3172,False
3176,False
3181,False
3184,False
3185,False
3191,False
3195,False
3196,False
3206,True
3215,True
3223,False
3227,False
3228,False
3234,False
3240,False
3249,False
3252,False
3260,False
3261,False
3266,False
3268,False
3270,False
3273,False
3278,False
3286,False
3288,False
3295,False
3296,False
3297,False
3301,False
3313,False
3315,True
3323,False
3325,False
3335,True
3342,False
3351,False
3358,False
3361,False
3363,False
3367,False
3371,False
3374,False
3375,False
3381,False
3382,False
3388,False
3389,False
3392,False
3393,False
3395,False
3401,True
3403,False
3407,False
3408,False
3413,False
3417,False
3419,False
3422,False
3432,False
3436,False
3438,False
3444,False
3447,False
3449,True
3453,False
3458,False
3460,False
3461,False
3467,False
3473,False
3481,False
